City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
290,Axim,GH,2020-08-16 18:53:13,4.87,-2.24,74.82,82,0,9.19
291,Oytal,KZ,2020-08-16 18:53:13,42.91,73.27,76.87,31,0,6.62
292,Aden,YE,2020-08-16 18:53:14,12.78,45.04,86.94,62,53,9.91
293,Thornbury,GB,2020-08-16 18:53:14,52.23,-2.55,64.99,87,100,5.01
294,Nome,US,2020-08-16 18:53:14,64.5,-165.41,48.2,100,90,6.93
295,Yulara,AU,2020-08-16 18:53:14,-25.24,130.99,53.6,54,0,6.04
296,Youkounkoun,GN,2020-08-16 18:53:14,12.53,-13.13,78.96,88,100,8.3
297,Coquimbo,CL,2020-08-16 18:53:15,-29.95,-71.34,57.2,67,20,10.29
298,Fomboni,KM,2020-08-16 18:53:15,-12.28,43.74,75.76,77,0,6.29
299,Nikolskoye,RU,2020-08-16 18:53:15,59.7,30.79,64.4,72,0,4.47
300,Wanaka,NZ,2020-08-16 18:50:04,-44.7,169.15,30.0,84,10,1.99
301,Algiers,DZ,2020-08-16 18:48:38,36.75,3.04,84.2,51,71,4.7
302,Rafaela,AR,2020-08-16 18:53:16,-31.25,-61.49,72.0,9,0,3.0
